"","Year","Month","Year-Month","Country","Percent","Percent_3MA"
"1",2019,"Jan",2019,"USA",3.79,3.79
"2",2019,"Feb",2019.08333333333,"USA",3.75,3.77
"3",2019,"Mar",2019.16666666667,"USA",3.83,3.79
"4",2019,"Apr",2019.25,"USA",3.87,3.82
"5",2019,"May",2019.33333333333,"USA",3.69,3.8
"6",2019,"Jun",2019.41666666667,"USA",3.44,3.67
"7",2019,"Jul",2019.5,"USA",2.97,3.37
"8",2019,"Aug",2019.58333333333,"USA",3.28,3.23
"9",2019,"Sep",2019.66666666667,"USA",3.74,3.33
"10",2019,"Oct",2019.75,"USA",3.71,3.58
"11",2019,"Nov",2019.83333333333,"USA",3.84,3.76
"12",2019,"Dec",2019.91666666667,"USA",3.42,3.66
"13",2020,"Jan",2020,"USA",3.34,3.53
"14",2020,"Feb",2020.08333333333,"USA",3.7,3.49
"15",2020,"Mar",2020.16666666667,"USA",4.17,3.74
"16",2020,"Apr",2020.25,"USA",7.33,5.07
"17",2020,"May",2020.33333333333,"USA",6.48,5.99
"18",2020,"Jun",2020.41666666667,"USA",6.69,6.83
"19",2020,"Jul",2020.5,"USA",6.62,6.6
"20",2020,"Aug",2020.58333333333,"USA",7.55,6.95
"21",2020,"Sep",2020.66666666667,"USA",7.57,7.24
"22",2020,"Oct",2020.75,"USA",7.89,7.67
"23",2020,"Nov",2020.83333333333,"USA",7.77,7.74
"24",2020,"Dec",2020.91666666667,"USA",8.48,8.05
"25",2021,"Jan",2021,"USA",8.37,8.21
"26",2021,"Feb",2021.08333333333,"USA",9.12,8.66
"27",2021,"Mar",2021.16666666667,"USA",8.75,8.75
"28",2021,"Apr",2021.25,"USA",8.35,8.74
"29",2021,"May",2021.33333333333,"USA",8.23,8.44
"30",2021,"Jun",2021.41666666667,"USA",8.19,8.26
"31",2021,"Jul",2021.5,"USA",8.32,8.25
"32",2021,"Aug",2021.58333333333,"USA",8.54,8.35
"33",2021,"Sep",2021.66666666667,"USA",8.88,8.58
"34",2021,"Oct",2021.75,"USA",9.47,8.96
"35",2021,"Nov",2021.83333333333,"USA",10.09,9.48
"36",2021,"Dec",2021.91666666667,"USA",9.54,9.7
"37",2022,"Jan",2022,"USA",10.77,10.13
"38",2022,"Feb",2022.08333333333,"USA",11.12,10.48
"39",2022,"Mar",2022.16666666667,"USA",11.24,11.04
"40",2022,"Apr",2022.25,"USA",11.39,11.25
"41",2022,"May",2022.33333333333,"USA",11.35,11.33
"42",2022,"Jun",2022.41666666667,"USA",11.93,11.56
"43",2022,"Jul",2022.5,"USA",11.02,11.43
"44",2022,"Aug",2022.58333333333,"USA",11.12,11.35
"45",2022,"Sep",2022.66666666667,"USA",11.28,11.14
"46",2022,"Oct",2022.75,"USA",12.02,11.47
"47",2022,"Nov",2022.83333333333,"USA",11.72,11.67
"48",2022,"Dec",2022.91666666667,"USA",10.56,11.43
"49",2023,"Jan",2023,"USA",10.69,10.99
"50",2023,"Feb",2023.08333333333,"USA",10.55,10.6
"51",2023,"Mar",2023.16666666667,"USA",10.58,10.61
"52",2023,"Apr",2023.25,"USA",10.83,10.65
"53",2023,"May",2023.33333333333,"USA",10,10.47
"54",2023,"Jun",2023.41666666667,"USA",9.91,10.25
"55",2023,"Jul",2023.5,"USA",9.17,9.7
"56",2023,"Aug",2023.58333333333,"USA",9.25,9.45
"57",2023,"Sep",2023.66666666667,"USA",9.26,9.23
"58",2023,"Oct",2023.75,"USA",9.25,9.26
"59",2023,"Nov",2023.83333333333,"USA",9.38,9.3
"60",2023,"Dec",2023.91666666667,"USA",9,9.21
"61",2024,"Jan",2024,"USA",9.04,9.14
"62",2024,"Feb",2024.08333333333,"USA",9.55,9.2
"63",2024,"Mar",2024.16666666667,"USA",9.28,9.29
"64",2019,"Jan",2019,"Australia",1.03,1.03
"65",2019,"Feb",2019.08333333333,"Australia",1.08,1.05
"66",2019,"Mar",2019.16666666667,"Australia",1.21,1.11
"67",2019,"Apr",2019.25,"Australia",1.01,1.1
"68",2019,"May",2019.33333333333,"Australia",1.84,1.35
"69",2019,"Jun",2019.41666666667,"Australia",1.11,1.32
"70",2019,"Jul",2019.5,"Australia",1.32,1.42
"71",2019,"Aug",2019.58333333333,"Australia",1.56,1.33
"72",2019,"Sep",2019.66666666667,"Australia",1.24,1.37
"73",2019,"Oct",2019.75,"Australia",1.61,1.47
"74",2019,"Nov",2019.83333333333,"Australia",1.68,1.51
"75",2019,"Dec",2019.91666666667,"Australia",1.22,1.5
"76",2020,"Jan",2020,"Australia",1.46,1.45
"77",2020,"Feb",2020.08333333333,"Australia",1.41,1.36
"78",2020,"Mar",2020.16666666667,"Australia",1.5,1.46
"79",2020,"Apr",2020.25,"Australia",3.01,1.98
"80",2020,"May",2020.33333333333,"Australia",2.73,2.41
"81",2020,"Jun",2020.41666666667,"Australia",2.6,2.78
"82",2020,"Jul",2020.5,"Australia",3.18,2.84
"83",2020,"Aug",2020.58333333333,"Australia",3.62,3.13
"84",2020,"Sep",2020.66666666667,"Australia",4.1,3.63
"85",2020,"Oct",2020.75,"Australia",3.89,3.87
"86",2020,"Nov",2020.83333333333,"Australia",4.58,4.19
"87",2020,"Dec",2020.91666666667,"Australia",5.43,4.63
"88",2021,"Jan",2021,"Australia",4.83,4.95
"89",2021,"Feb",2021.08333333333,"Australia",5.55,5.27
"90",2021,"Mar",2021.16666666667,"Australia",4.66,5.01
"91",2021,"Apr",2021.25,"Australia",4.63,4.95
"92",2021,"May",2021.33333333333,"Australia",5.57,4.95
"93",2021,"Jun",2021.41666666667,"Australia",6.73,5.64
"94",2021,"Jul",2021.5,"Australia",7.08,6.46
"95",2021,"Aug",2021.58333333333,"Australia",8.39,7.4
"96",2021,"Sep",2021.66666666667,"Australia",9.18,8.22
"97",2021,"Oct",2021.75,"Australia",9.31,8.96
"98",2021,"Nov",2021.83333333333,"Australia",8.56,9.02
"99",2021,"Dec",2021.91666666667,"Australia",8.57,8.81
"100",2022,"Jan",2022,"Australia",9.38,8.84
"101",2022,"Feb",2022.08333333333,"Australia",10.9,9.62
"102",2022,"Mar",2022.16666666667,"Australia",10.36,10.21
"103",2022,"Apr",2022.25,"Australia",12.13,11.13
"104",2022,"May",2022.33333333333,"Australia",12.13,11.54
"105",2022,"Jun",2022.41666666667,"Australia",12.13,12.13
"106",2022,"Jul",2022.5,"Australia",12.78,12.35
"107",2022,"Aug",2022.58333333333,"Australia",13.08,12.66
"108",2022,"Sep",2022.66666666667,"Australia",13.1,12.99
"109",2022,"Oct",2022.75,"Australia",13.03,13.07
"110",2022,"Nov",2022.83333333333,"Australia",13.36,13.17
"111",2022,"Dec",2022.91666666667,"Australia",12.03,12.81
"112",2023,"Jan",2023,"Australia",12.52,12.64
"113",2023,"Feb",2023.08333333333,"Australia",13.25,12.6
"114",2023,"Mar",2023.16666666667,"Australia",12.69,12.82
"115",2023,"Apr",2023.25,"Australia",13.92,13.28
"116",2023,"May",2023.33333333333,"Australia",13.74,13.45
"117",2023,"Jun",2023.41666666667,"Australia",13.49,13.72
"118",2023,"Jul",2023.5,"Australia",13.59,13.61
"119",2023,"Aug",2023.58333333333,"Australia",13.42,13.5
"120",2023,"Sep",2023.66666666667,"Australia",13.93,13.65
"121",2023,"Oct",2023.75,"Australia",12.54,13.3
"122",2023,"Nov",2023.83333333333,"Australia",11.63,12.7
"123",2023,"Dec",2023.91666666667,"Australia",12.01,12.06
"124",2024,"Jan",2024,"Australia",12.83,12.16
"125",2024,"Feb",2024.08333333333,"Australia",13.14,12.66
"126",2024,"Mar",2024.16666666667,"Australia",13.1,13.02
"127",2019,"Jan",2019,"Canada",1.25,1.25
"128",2019,"Feb",2019.08333333333,"Canada",1.22,1.23
"129",2019,"Mar",2019.16666666667,"Canada",1.25,1.24
"130",2019,"Apr",2019.25,"Canada",1.32,1.26
"131",2019,"May",2019.33333333333,"Canada",1.39,1.32
"132",2019,"Jun",2019.41666666667,"Canada",1.13,1.28
"133",2019,"Jul",2019.5,"Canada",1.61,1.38
"134",2019,"Aug",2019.58333333333,"Canada",1.45,1.39
"135",2019,"Sep",2019.66666666667,"Canada",1.63,1.56
"136",2019,"Oct",2019.75,"Canada",1.66,1.58
"137",2019,"Nov",2019.83333333333,"Canada",1.78,1.69
"138",2019,"Dec",2019.91666666667,"Canada",1.75,1.73
"139",2020,"Jan",2020,"Canada",1.77,1.77
"140",2020,"Feb",2020.08333333333,"Canada",1.73,1.75
"141",2020,"Mar",2020.16666666667,"Canada",1.98,1.83
"142",2020,"Apr",2020.25,"Canada",3.89,2.53
"143",2020,"May",2020.33333333333,"Canada",6.51,4.12
"144",2020,"Jun",2020.41666666667,"Canada",5.74,5.38
"145",2020,"Jul",2020.5,"Canada",5.97,6.07
"146",2020,"Aug",2020.58333333333,"Canada",6.1,5.94
"147",2020,"Sep",2020.66666666667,"Canada",5.63,5.9
"148",2020,"Oct",2020.75,"Canada",6.61,6.11
"149",2020,"Nov",2020.83333333333,"Canada",7.11,6.45
"150",2020,"Dec",2020.91666666667,"Canada",6.65,6.79
"151",2021,"Jan",2021,"Canada",7.77,7.17
"152",2021,"Feb",2021.08333333333,"Canada",6.77,7.06
"153",2021,"Mar",2021.16666666667,"Canada",7.03,7.19
"154",2021,"Apr",2021.25,"Canada",7.67,7.16
"155",2021,"May",2021.33333333333,"Canada",9.45,8.05
"156",2021,"Jun",2021.41666666667,"Canada",7.92,8.35
"157",2021,"Jul",2021.5,"Canada",8.04,8.47
"158",2021,"Aug",2021.58333333333,"Canada",6.85,7.6
"159",2021,"Sep",2021.66666666667,"Canada",6.1,7
"160",2021,"Oct",2021.75,"Canada",6.99,6.65
"161",2021,"Nov",2021.83333333333,"Canada",8.06,7.05
