"","Year","Month","Year-Month","Country","State/Region","Percent","N"
"1",2019,"Jan",2019,"USA","Alabama",2.88,30798
"2",2019,"Feb",2019.08333333333,"USA","Alabama",2.7,28883
"3",2019,"Mar",2019.16666666667,"USA","Alabama",3.07,33391
"4",2019,"Apr",2019.25,"USA","Alabama",3.75,29162
"5",2019,"May",2019.33333333333,"USA","Alabama",3.68,35660
"6",2019,"Jun",2019.41666666667,"USA","Alabama",3.14,31467
"7",2019,"Jul",2019.5,"USA","Alabama",3.16,29224
"8",2019,"Aug",2019.58333333333,"USA","Alabama",2.76,40550
"9",2019,"Sep",2019.66666666667,"USA","Alabama",3.69,37235
"10",2019,"Oct",2019.75,"USA","Alabama",4.12,33166
"11",2019,"Nov",2019.83333333333,"USA","Alabama",3.6,32841
"12",2019,"Dec",2019.91666666667,"USA","Alabama",3.39,27495
"13",2020,"Jan",2020,"USA","Alabama",3.09,31312
"14",2020,"Feb",2020.08333333333,"USA","Alabama",3.14,36371
"15",2020,"Mar",2020.16666666667,"USA","Alabama",3.74,31116
"16",2020,"Apr",2020.25,"USA","Alabama",5.31,23031
"17",2020,"May",2020.33333333333,"USA","Alabama",4.59,27034
"18",2020,"Jun",2020.41666666667,"USA","Alabama",4.37,29467
"19",2020,"Jul",2020.5,"USA","Alabama",4.21,31601
"20",2020,"Aug",2020.58333333333,"USA","Alabama",5.24,36022
"21",2020,"Sep",2020.66666666667,"USA","Alabama",5.1,33904
"22",2020,"Oct",2020.75,"USA","Alabama",5.44,36946
"23",2020,"Nov",2020.83333333333,"USA","Alabama",5.78,27850
"24",2020,"Dec",2020.91666666667,"USA","Alabama",5.42,30252
"25",2021,"Jan",2021,"USA","Alabama",5.84,38271
"26",2021,"Feb",2021.08333333333,"USA","Alabama",6.42,36832
"27",2021,"Mar",2021.16666666667,"USA","Alabama",5.96,44246
"28",2021,"Apr",2021.25,"USA","Alabama",6.6,48679
"29",2021,"May",2021.33333333333,"USA","Alabama",6.08,55491
"30",2021,"Jun",2021.41666666667,"USA","Alabama",7.58,51141
"31",2021,"Jul",2021.5,"USA","Alabama",8.28,37363
"32",2021,"Aug",2021.58333333333,"USA","Alabama",7.1,39642
"33",2021,"Sep",2021.66666666667,"USA","Alabama",5.47,34412
"34",2021,"Oct",2021.75,"USA","Alabama",6.56,40341
"35",2021,"Nov",2021.83333333333,"USA","Alabama",8.31,41794
"36",2021,"Dec",2021.91666666667,"USA","Alabama",7.09,52676
"37",2022,"Jan",2022,"USA","Alabama",8.04,48676
"38",2022,"Feb",2022.08333333333,"USA","Alabama",8.15,42586
"39",2022,"Mar",2022.16666666667,"USA","Alabama",8.55,46158
"40",2022,"Apr",2022.25,"USA","Alabama",8.86,41938
"41",2022,"May",2022.33333333333,"USA","Alabama",8.07,46610
"42",2022,"Jun",2022.41666666667,"USA","Alabama",9.26,46509
"43",2022,"Jul",2022.5,"USA","Alabama",8.83,48355
"44",2022,"Aug",2022.58333333333,"USA","Alabama",8.36,61508
"45",2022,"Sep",2022.66666666667,"USA","Alabama",9.33,48200
"46",2022,"Oct",2022.75,"USA","Alabama",9.13,45220
"47",2022,"Nov",2022.83333333333,"USA","Alabama",8.63,46870
"48",2022,"Dec",2022.91666666667,"USA","Alabama",8.43,40212
"49",2023,"Jan",2023,"USA","Alabama",8.04,51229
"50",2023,"Feb",2023.08333333333,"USA","Alabama",7.48,44076
"51",2023,"Mar",2023.16666666667,"USA","Alabama",7.71,58898
"52",2023,"Apr",2023.25,"USA","Alabama",9.44,55045
"53",2023,"May",2023.33333333333,"USA","Alabama",8.42,49492
"54",2023,"Jun",2023.41666666667,"USA","Alabama",7.71,49108
"55",2023,"Jul",2023.5,"USA","Alabama",7.57,50626
"56",2023,"Aug",2023.58333333333,"USA","Alabama",7.14,51730
"57",2023,"Sep",2023.66666666667,"USA","Alabama",6.69,49058
"58",2023,"Oct",2023.75,"USA","Alabama",8.13,49009
"59",2023,"Nov",2023.83333333333,"USA","Alabama",7.1,41689
"60",2023,"Dec",2023.91666666667,"USA","Alabama",6.5,38904
"61",2024,"Jan",2024,"USA","Alabama",6.59,45279
"62",2024,"Feb",2024.08333333333,"USA","Alabama",7.45,41959
"63",2024,"Mar",2024.16666666667,"USA","Alabama",6.74,44216
"64",2019,"Jan",2019,"USA","Alaska",4.39,6010
"65",2019,"Feb",2019.08333333333,"USA","Alaska",5.21,5588
"66",2019,"Mar",2019.16666666667,"USA","Alaska",4.03,7070
"67",2019,"Apr",2019.25,"USA","Alaska",3.8,5055
"68",2019,"May",2019.33333333333,"USA","Alaska",4.41,6662
"69",2019,"Jun",2019.41666666667,"USA","Alaska",3.78,5815
"70",2019,"Jul",2019.5,"USA","Alaska",2.93,4123
"71",2019,"Aug",2019.58333333333,"USA","Alaska",4,5505
"72",2019,"Sep",2019.66666666667,"USA","Alaska",5.19,7498
"73",2019,"Oct",2019.75,"USA","Alaska",6.04,7206
"74",2019,"Nov",2019.83333333333,"USA","Alaska",4.35,6682
"75",2019,"Dec",2019.91666666667,"USA","Alaska",4.24,7164
"76",2020,"Jan",2020,"USA","Alaska",3.62,7515
"77",2020,"Feb",2020.08333333333,"USA","Alaska",5.07,7064
"78",2020,"Mar",2020.16666666667,"USA","Alaska",5.61,7589
"79",2020,"Apr",2020.25,"USA","Alaska",6.49,5622
"80",2020,"May",2020.33333333333,"USA","Alaska",6.26,5927
"81",2020,"Jun",2020.41666666667,"USA","Alaska",6.48,6419
"82",2020,"Jul",2020.5,"USA","Alaska",7.07,6209
"83",2020,"Aug",2020.58333333333,"USA","Alaska",8.37,6226
"84",2020,"Sep",2020.66666666667,"USA","Alaska",9.09,6092
"85",2020,"Oct",2020.75,"USA","Alaska",10.3,6745
"86",2020,"Nov",2020.83333333333,"USA","Alaska",8.28,5953
"87",2020,"Dec",2020.91666666667,"USA","Alaska",11.24,5197
"88",2021,"Jan",2021,"USA","Alaska",10.14,6644
"89",2021,"Feb",2021.08333333333,"USA","Alaska",10.78,6784
"90",2021,"Mar",2021.16666666667,"USA","Alaska",9.94,8513
"91",2021,"Apr",2021.25,"USA","Alaska",9.82,9391
"92",2021,"May",2021.33333333333,"USA","Alaska",9.81,12827
"93",2021,"Jun",2021.41666666667,"USA","Alaska",9.84,8921
"94",2021,"Jul",2021.5,"USA","Alaska",9.07,8072
"95",2021,"Aug",2021.58333333333,"USA","Alaska",9.47,7780
"96",2021,"Sep",2021.66666666667,"USA","Alaska",11.26,6534
"97",2021,"Oct",2021.75,"USA","Alaska",11.52,7108
"98",2021,"Nov",2021.83333333333,"USA","Alaska",10.55,7895
"99",2021,"Dec",2021.91666666667,"USA","Alaska",8.66,6938
"100",2022,"Jan",2022,"USA","Alaska",10.42,6506
"101",2022,"Feb",2022.08333333333,"USA","Alaska",9.97,6892
"102",2022,"Mar",2022.16666666667,"USA","Alaska",10.49,8142
"103",2022,"Apr",2022.25,"USA","Alaska",7.76,8412
"104",2022,"May",2022.33333333333,"USA","Alaska",7.95,11431
"105",2022,"Jun",2022.41666666667,"USA","Alaska",9.76,12516
"106",2022,"Jul",2022.5,"USA","Alaska",7.91,8854
"107",2022,"Aug",2022.58333333333,"USA","Alaska",9.77,8643
"108",2022,"Sep",2022.66666666667,"USA","Alaska",9.25,8798
"109",2022,"Oct",2022.75,"USA","Alaska",9.63,8576
"110",2022,"Nov",2022.83333333333,"USA","Alaska",9.8,7326
"111",2022,"Dec",2022.91666666667,"USA","Alaska",10.43,7255
"112",2023,"Jan",2023,"USA","Alaska",12,9540
"113",2023,"Feb",2023.08333333333,"USA","Alaska",11.26,7698
"114",2023,"Mar",2023.16666666667,"USA","Alaska",10.75,10230
"115",2023,"Apr",2023.25,"USA","Alaska",13.54,10684
"116",2023,"May",2023.33333333333,"USA","Alaska",11.32,10281
"117",2023,"Jun",2023.41666666667,"USA","Alaska",11.49,11626
"118",2023,"Jul",2023.5,"USA","Alaska",12.37,10796
"119",2023,"Aug",2023.58333333333,"USA","Alaska",9.9,11692
"120",2023,"Sep",2023.66666666667,"USA","Alaska",10.16,10064
"121",2023,"Oct",2023.75,"USA","Alaska",9.93,9994
"122",2023,"Nov",2023.83333333333,"USA","Alaska",11.32,7745
"123",2023,"Dec",2023.91666666667,"USA","Alaska",14.24,12458
"124",2024,"Jan",2024,"USA","Alaska",13.19,15183
"125",2024,"Feb",2024.08333333333,"USA","Alaska",14.46,10949
"126",2024,"Mar",2024.16666666667,"USA","Alaska",15.83,14698
"127",2019,"Jan",2019,"USA","Arizona",4.04,67626
"128",2019,"Feb",2019.08333333333,"USA","Arizona",3.66,66852
"129",2019,"Mar",2019.16666666667,"USA","Arizona",3.56,74159
"130",2019,"Apr",2019.25,"USA","Arizona",3.81,51388
"131",2019,"May",2019.33333333333,"USA","Arizona",4.22,78736
"132",2019,"Jun",2019.41666666667,"USA","Arizona",3.72,63072
"133",2019,"Jul",2019.5,"USA","Arizona",3.43,58679
"134",2019,"Aug",2019.58333333333,"USA","Arizona",3.7,81007
"135",2019,"Sep",2019.66666666667,"USA","Arizona",3.8,74901
"136",2019,"Oct",2019.75,"USA","Arizona",3.97,74751
"137",2019,"Nov",2019.83333333333,"USA","Arizona",3.67,70800
"138",2019,"Dec",2019.91666666667,"USA","Arizona",3.71,75867
"139",2020,"Jan",2020,"USA","Arizona",3.41,85885
"140",2020,"Feb",2020.08333333333,"USA","Arizona",3.7,81127
"141",2020,"Mar",2020.16666666667,"USA","Arizona",4.34,83092
"142",2020,"Apr",2020.25,"USA","Arizona",9.26,56287
"143",2020,"May",2020.33333333333,"USA","Arizona",7.08,61445
"144",2020,"Jun",2020.41666666667,"USA","Arizona",7.92,75427
"145",2020,"Jul",2020.5,"USA","Arizona",8.36,72543
"146",2020,"Aug",2020.58333333333,"USA","Arizona",8.96,77305
"147",2020,"Sep",2020.66666666667,"USA","Arizona",8.99,76045
"148",2020,"Oct",2020.75,"USA","Arizona",9.65,83385
"149",2020,"Nov",2020.83333333333,"USA","Arizona",8.97,73701
"150",2020,"Dec",2020.91666666667,"USA","Arizona",8.97,72487
"151",2021,"Jan",2021,"USA","Arizona",9.24,79234
"152",2021,"Feb",2021.08333333333,"USA","Arizona",8.33,99882
"153",2021,"Mar",2021.16666666667,"USA","Arizona",9.67,100683
"154",2021,"Apr",2021.25,"USA","Arizona",9.67,110603
"155",2021,"May",2021.33333333333,"USA","Arizona",8.89,116111
"156",2021,"Jun",2021.41666666667,"USA","Arizona",9.14,98587
"157",2021,"Jul",2021.5,"USA","Arizona",9.29,86234
"158",2021,"Aug",2021.58333333333,"USA","Arizona",9.67,86603
"159",2021,"Sep",2021.66666666667,"USA","Arizona",9.62,76730
"160",2021,"Oct",2021.75,"USA","Arizona",10.12,83791
"161",2021,"Nov",2021.83333333333,"USA","Arizona",10.34,94316
"162",2021,"Dec",2021.91666666667,"USA","Arizona",9.9,100165
"163",2022,"Jan",2022,"USA","Arizona",11.96,105045
"164",2022,"Feb",2022.08333333333,"USA","Arizona",11.66,108109
"165",2022,"Mar",2022.16666666667,"USA","Arizona",11.09,118927
"166",2022,"Apr",2022.25,"USA","Arizona",12.08,112184
"167",2022,"May",2022.33333333333,"USA","Arizona",12.49,127010
"168",2022,"Jun",2022.41666666667,"USA","Arizona",14.32,120393
"169",2022,"Jul",2022.5,"USA","Arizona",12.8,124765
"170",2022,"Aug",2022.58333333333,"USA","Arizona",11.66,104797
"171",2022,"Sep",2022.66666666667,"USA","Arizona",11.97,107305
"172",2022,"Oct",2022.75,"USA","Arizona",14.01,102135
"173",2022,"Nov",2022.83333333333,"USA","Arizona",12.38,91437
"174",2022,"Dec",2022.91666666667,"USA","Arizona",10.84,86872
"175",2023,"Jan",2023,"USA","Arizona",11.11,91546
"176",2023,"Feb",2023.08333333333,"USA","Arizona",11.65,83745
"177",2023,"Mar",2023.16666666667,"USA","Arizona",10.87,86423
"178",2023,"Apr",2023.25,"USA","Arizona",11.04,83600
"179",2023,"May",2023.33333333333,"USA","Arizona",9.98,85190
"180",2023,"Jun",2023.41666666667,"USA","Arizona",10.73,83051
"181",2023,"Jul",2023.5,"USA","Arizona",9.77,77915
"182",2023,"Aug",2023.58333333333,"USA","Arizona",9.67,84651
"183",2023,"Sep",2023.66666666667,"USA","Arizona",9.95,72351
"184",2023,"Oct",2023.75,"USA","Arizona",9.26,73671
"185",2023,"Nov",2023.83333333333,"USA","Arizona",9.9,67008
"186",2023,"Dec",2023.91666666667,"USA","Arizona",9.07,64073
"187",2024,"Jan",2024,"USA","Arizona",9.93,77950
"188",2024,"Feb",2024.08333333333,"USA","Arizona",10.09,74654
"189",2024,"Mar",2024.16666666667,"USA","Arizona",10.04,78051
"190",2019,"Jan",2019,"USA","Arkansas",3.48,13147
"191",2019,"Feb",2019.08333333333,"USA","Arkansas",2.9,11169
"192",2019,"Mar",2019.16666666667,"USA","Arkansas",3.44,13002
"193",2019,"Apr",2019.25,"USA","Arkansas",2.81,9550
"194",2019,"May",2019.33333333333,"USA","Arkansas",2.85,12478
"195",2019,"Jun",2019.41666666667,"USA","Arkansas",2.16,11429
"196",2019,"Jul",2019.5,"USA","Arkansas",1.8,10547
"197",2019,"Aug",2019.58333333333,"USA","Arkansas",2.17,14426
"198",2019,"Sep",2019.66666666667,"USA","Arkansas",2.79,14251
"199",2019,"Oct",2019.75,"USA","Arkansas",3.32,13951
"200",2019,"Nov",2019.83333333333,"USA","Arkansas",3.44,13092
"201",2019,"Dec",2019.91666666667,"USA","Arkansas",3.55,13161
"202",2020,"Jan",2020,"USA","Arkansas",2.86,18865
"203",2020,"Feb",2020.08333333333,"USA","Arkansas",3.44,16464
