"","Year","Month","Year-Month","SOC 2018 3-Digit Minor Group","SOC 2018 3-Digit Minor Group (Name)","Percent","Percent_3ma","N"
"1",2019,"Jan",2019,"11-1000","Top Executives",3.41106733397224,3.41106733397224,28173
"2",2019,"Feb",2019.08333333333,"11-1000","Top Executives",3.28788169771461,3.34947451584343,26035
"3",2019,"Mar",2019.16666666667,"11-1000","Top Executives",4.82820651196258,3.84238518121648,27795
"4",2019,"Apr",2019.25,"11-1000","Top Executives",4.54545454545455,4.22051425171058,19602
"5",2019,"May",2019.33333333333,"11-1000","Top Executives",3.13821803793151,4.17062636511621,29316
"6",2019,"Jun",2019.41666666667,"11-1000","Top Executives",3.42343075795815,3.70236778044807,24566
"7",2019,"Jul",2019.5,"11-1000","Top Executives",2.97160674635045,3.17775184741337,21167
"8",2019,"Aug",2019.58333333333,"11-1000","Top Executives",2.84008986352815,3.07837578927892,29823
"9",2019,"Sep",2019.66666666667,"11-1000","Top Executives",4.2660372705816,3.35924462682007,28387
"10",2019,"Oct",2019.75,"11-1000","Top Executives",3.10785471213279,3.40466061541418,28798
"11",2019,"Nov",2019.83333333333,"11-1000","Top Executives",3.90011017260375,3.75800071843938,27230
"12",2019,"Dec",2019.91666666667,"11-1000","Top Executives",3.84708277265984,3.61834921913212,28983
"13",2020,"Jan",2020,"11-1000","Top Executives",3.66963531170773,3.80560941899044,30766
"14",2020,"Feb",2020.08333333333,"11-1000","Top Executives",3.9495956366372,3.82210457366826,31902
"15",2020,"Mar",2020.16666666667,"11-1000","Top Executives",4.10629654705484,3.90850916513326,29540
"16",2020,"Apr",2020.25,"11-1000","Top Executives",5.51248061627732,4.52279093332312,19991
"17",2020,"May",2020.33333333333,"11-1000","Top Executives",5.44947121034078,5.02274945789098,20424
"18",2020,"Jun",2020.41666666667,"11-1000","Top Executives",5.89363487433572,5.61852890031794,25027
"19",2020,"Jul",2020.5,"11-1000","Top Executives",6.6271018793274,5.99006932133463,26286
"20",2020,"Aug",2020.58333333333,"11-1000","Top Executives",7.28192845553581,6.60088840306631,25886
"21",2020,"Sep",2020.66666666667,"11-1000","Top Executives",9.05692576490187,7.65531869992169,24611
"22",2020,"Oct",2020.75,"11-1000","Top Executives",6.98162349877008,7.77349257306925,27644
"23",2020,"Nov",2020.83333333333,"11-1000","Top Executives",8.60004552697473,8.21286493021556,21965
"24",2020,"Dec",2020.91666666667,"11-1000","Top Executives",10.4521483530734,8.67793912627274,23134
"25",2021,"Jan",2021,"11-1000","Top Executives",8.26209807217712,9.10476398407508,27959
"26",2021,"Feb",2021.08333333333,"11-1000","Top Executives",9.25810904071774,9.32411848865608,28980
"27",2021,"Mar",2021.16666666667,"11-1000","Top Executives",10.5611184583412,9.36044185707869,37051
"28",2021,"Apr",2021.25,"11-1000","Top Executives",9.62259027966332,9.81393925957409,36830
"29",2021,"May",2021.33333333333,"11-1000","Top Executives",9.24094938810966,9.80821937537139,39141
"30",2021,"Jun",2021.41666666667,"11-1000","Top Executives",9.44389776867636,9.43581247881645,37601
"31",2021,"Jul",2021.5,"11-1000","Top Executives",10.3257448594209,9.67019733873564,38128
"32",2021,"Aug",2021.58333333333,"11-1000","Top Executives",10.1802358376534,9.9832928219169,37229
"33",2021,"Sep",2021.66666666667,"11-1000","Top Executives",10.8988572403207,10.468279312465,35178
"34",2021,"Oct",2021.75,"11-1000","Top Executives",11.59899518097,10.8926960863147,39012
"35",2021,"Nov",2021.83333333333,"11-1000","Top Executives",12.3417885002841,11.6132136405249,38714
"36",2021,"Dec",2021.91666666667,"11-1000","Top Executives",11.2516342485125,11.7308059765889,37479
"37",2022,"Jan",2022,"11-1000","Top Executives",13.3639776665383,12.3191334717783,41552
"38",2022,"Feb",2022.08333333333,"11-1000","Top Executives",14.0156176582463,12.8770765244324,44693
"39",2022,"Mar",2022.16666666667,"11-1000","Top Executives",15.2521697396312,14.2105883548053,50006
"40",2022,"Apr",2022.25,"11-1000","Top Executives",15.7515240697919,15.0064371558898,47570
"41",2022,"May",2022.33333333333,"11-1000","Top Executives",15.6655369872619,15.5564102655617,51342
"42",2022,"Jun",2022.41666666667,"11-1000","Top Executives",15.260885067945,15.5593153749996,50482
"43",2022,"Jul",2022.5,"11-1000","Top Executives",15.2875673754664,15.4046631435578,50649
"44",2022,"Aug",2022.58333333333,"11-1000","Top Executives",15.9767656433484,15.50840602892,47688
"45",2022,"Sep",2022.66666666667,"11-1000","Top Executives",15.887156644395,15.7171632210699,45798
"46",2022,"Oct",2022.75,"11-1000","Top Executives",16.3303529621619,16.0647584166351,44849
"47",2022,"Nov",2022.83333333333,"11-1000","Top Executives",15.4942778216259,15.9039291427276,40544
"48",2022,"Dec",2022.91666666667,"11-1000","Top Executives",13.6798369394795,15.1681559077558,38268
"49",2023,"Jan",2023,"11-1000","Top Executives",14.3931340264993,14.5224162625349,38567
"50",2023,"Feb",2023.08333333333,"11-1000","Top Executives",13.3930425752856,13.8220045137548,38520
"51",2023,"Mar",2023.16666666667,"11-1000","Top Executives",13.9128466896326,13.8996744304725,39769
"52",2023,"Apr",2023.25,"11-1000","Top Executives",15.6182374449668,14.3080422366283,40203
"53",2023,"May",2023.33333333333,"11-1000","Top Executives",15.2794715447154,14.936851893105,39360
"54",2023,"Jun",2023.41666666667,"11-1000","Top Executives",14.4172600246266,15.1049896714363,37358
"55",2023,"Jul",2023.5,"11-1000","Top Executives",13.5387273250792,14.4118196314737,34730
"56",2023,"Aug",2023.58333333333,"11-1000","Top Executives",14.1407385867985,14.0322419788348,34390
"57",2023,"Sep",2023.66666666667,"11-1000","Top Executives",13.0882711533772,13.5892456884183,32808
"58",2023,"Oct",2023.75,"11-1000","Top Executives",13.2638976032125,13.4976357811294,31876
"59",2023,"Nov",2023.83333333333,"11-1000","Top Executives",13.1320958124179,13.1614215230025,29683
"60",2023,"Dec",2023.91666666667,"11-1000","Top Executives",15.0041604260276,13.8000512805527,30045
"61",2024,"Jan",2024,"11-1000","Top Executives",13.5014326647564,13.8792296344007,34900
"62",2024,"Feb",2024.08333333333,"11-1000","Top Executives",15.0685737830361,14.5247222912734,33978
"63",2024,"Mar",2024.16666666667,"11-1000","Top Executives",14.9955805988289,14.5218623488738,36204
"64",2019,"Jan",2019,"36831","Advertising, Marketing, Promotions, Public Relations, and Sales Managers",6.77348306241469,6.77348306241469,64472
"65",2019,"Feb",2019.08333333333,"36831","Advertising, Marketing, Promotions, Public Relations, and Sales Managers",8.01894238358327,7.39621272299898,57015
"66",2019,"Mar",2019.16666666667,"36831","Advertising, Marketing, Promotions, Public Relations, and Sales Managers",8.41460725613583,7.73567756737793,58957
"67",2019,"Apr",2019.25,"36831","Advertising, Marketing, Promotions, Public Relations, and Sales Managers",8.2674266714167,8.2336587703786,42105
"68",2019,"May",2019.33333333333,"36831","Advertising, Marketing, Promotions, Public Relations, and Sales Managers",7.86422060842666,8.1820848453264,60451
"69",2019,"Jun",2019.41666666667,"36831","Advertising, Marketing, Promotions, Public Relations, and Sales Managers",7.4558809501097,7.86250940998435,52415
"70",2019,"Jul",2019.5,"36831","Advertising, Marketing, Promotions, Public Relations, and Sales Managers",7.35339202032146,7.55783119295261,45666
"71",2019,"Aug",2019.58333333333,"36831","Advertising, Marketing, Promotions, Public Relations, and Sales Managers",8.3896747382722,7.73298256956779,62565
"72",2019,"Sep",2019.66666666667,"36831","Advertising, Marketing, Promotions, Public Relations, and Sales Managers",9.20824025812857,8.31710233890741,56406
"73",2019,"Oct",2019.75,"36831","Advertising, Marketing, Promotions, Public Relations, and Sales Managers",9.26321095522137,8.95370865054071,59515
"74",2019,"Nov",2019.83333333333,"36831","Advertising, Marketing, Promotions, Public Relations, and Sales Managers",9.93769861931522,9.46971661088839,55697
"75",2019,"Dec",2019.91666666667,"36831","Advertising, Marketing, Promotions, Public Relations, and Sales Managers",8.35652633433151,9.1858119696227,56770
"76",2020,"Jan",2020,"36831","Advertising, Marketing, Promotions, Public Relations, and Sales Managers",9.52956145012965,9.27459546792546,62091
"77",2020,"Feb",2020.08333333333,"36831","Advertising, Marketing, Promotions, Public Relations, and Sales Managers",10.4452643757231,9.44378405339475,63962
"78",2020,"Mar",2020.16666666667,"36831","Advertising, Marketing, Promotions, Public Relations, and Sales Managers",10.2465371548044,10.0737876602191,57395
"79",2020,"Apr",2020.25,"36831","Advertising, Marketing, Promotions, Public Relations, and Sales Managers",13.7023211428892,11.4647075578056,35629
"80",2020,"May",2020.33333333333,"36831","Advertising, Marketing, Promotions, Public Relations, and Sales Managers",15.634027159094,13.1942951522625,37041
"81",2020,"Jun",2020.41666666667,"36831","Advertising, Marketing, Promotions, Public Relations, and Sales Managers",15.864519611371,15.0669559711181,44464
"82",2020,"Jul",2020.5,"36831","Advertising, Marketing, Promotions, Public Relations, and Sales Managers",16.7758210837821,16.0914559514157,41226
"83",2020,"Aug",2020.58333333333,"36831","Advertising, Marketing, Promotions, Public Relations, and Sales Managers",17.1515970690759,16.5973125880763,42171
"84",2020,"Sep",2020.66666666667,"36831","Advertising, Marketing, Promotions, Public Relations, and Sales Managers",19.3123156342183,17.7465779290254,43392
"85",2020,"Oct",2020.75,"36831","Advertising, Marketing, Promotions, Public Relations, and Sales Managers",18.2106945596536,18.2248690876493,49427
"86",2020,"Nov",2020.83333333333,"36831","Advertising, Marketing, Promotions, Public Relations, and Sales Managers",19.2350091009306,18.9193397649342,39007
"87",2020,"Dec",2020.91666666667,"36831","Advertising, Marketing, Promotions, Public Relations, and Sales Managers",18.7369531301501,18.7275522635781,45509
"88",2021,"Jan",2021,"36831","Advertising, Marketing, Promotions, Public Relations, and Sales Managers",21.2338944794508,19.7352855701772,53165
"89",2021,"Feb",2021.08333333333,"36831","Advertising, Marketing, Promotions, Public Relations, and Sales Managers",21.5293283714336,20.5000586603448,56430
